id,category,subCategory,detailCategory,tags
287,기관,기관구조,연료 및 전기점화,점화플러그
288,기관,운전정비,시동 및 운전,멀티테스터
289,기관,운전정비,고장진단,출력저하원인
290,기관,운전정비,시동 및 운전,시동전동기·마그네틱스위치
291,기관,운전정비,고장진단,출력저하원인
292,기관,운전정비,고장진단,진동·소음원인
293,기관,기관구조,기초원리,열효율
294,기관,기관구조,기초원리,열효율
295,기관,운전정비,시동 및 운전,플러싱(세정)
296,기관,운전정비,고장진단,엔진과열원인
297,기관,기관구조,기초원리,2행정·4행정
298,기관,운전정비,고장진단,윤활유압력저하
299,기관,기관구조,연료 및 전기점화,옥탄가·연료
300,기관,기관구조,기초원리,플라이휠
301,기관,운전정비,시동 및 운전,시동전동기·마그네틱스위치
302,기관,기관구조,기초원리,피스톤·커넥팅로드
303,기관,기관구조,윤활 및 냉각계통,오일펌프
304,선박운용,조종술,추진과선회,프로펠러피치
305,기관,운전정비,시동 및 운전,시동전점검
306,기관,운전정비,시동 및 운전,공기빼기(호수)
307,기관,기관구조,연료 및 전기점화,연료펌프·인젝터
308,선박운용,조종술,추진과선회,배출류·흡입류
309,기관,운전정비,시동 및 운전,멀티테스터
310,기관,운전정비,시동 및 운전,시동전점검
311,기관,운전정비,시동 및 운전,시동전점검
312,기관,운전정비,고장진단,윤활유압력저하
313,기관,운전정비,시동 및 운전,시동전점검
314,기관,운전정비,고장진단,출력저하원인
315,기관,운전정비,고장진단,진동·소음원인
316,기관,운전정비,시동 및 운전,공기빼기(호수)
317,기관,운전정비,고장진단,윤활유압력저하
318,기관,기관구조,윤활 및 냉각계통,임펠러·원심펌프
319,기관,운전정비,고장진단,엔진과열원인
320,기관,기관구조,윤활 및 냉각계통,윤활유점도
321,선박운용,조종술,추진과선회,프로펠러피치
322,기관,기관구조,윤활 및 냉각계통,윤활유점도
323,기관,기관구조,기초원리,2행정·4행정
324,기관,기관구조,기초원리,피스톤·커넥팅로드
325,기관,운전정비,시동 및 운전,플러싱(세정)
326,선박운용,선박특성,복원성 및 저항,조와저항
327,기관,운전정비,시동 및 운전,시동전점검
328,기관,운전정비,고장진단,엔진과열원인
329,기관,운전정비,시동 및 운전,시동전점검
330,기관,기관구조,연료 및 전기점화,옥탄가·연료
331,기관,운전정비,고장진단,진동·소음원인
332,기관,운전정비,시동 및 운전,플러싱(세정)
333,기관,기관구조,기초원리,피스톤·커넥팅로드
334,기관,운전정비,고장진단,출력저하원인
335,기관,운전정비,고장진단,출력저하원인
336,기관,기관구조,윤활 및 냉각계통,윤활유점도
337,기관,운전정비,고장진단,출력저하원인
338,기관,기관구조,연료 및 전기점화,옥탄가·연료
339,기관,운전정비,고장진단,출력저하원인
340,기관,기관구조,기초원리,2행정·4행정
341,기관,운전정비,고장진단,진동·소음원인
342,기관,기관구조,윤활 및 냉각계통,윤활유점도
343,기관,기관구조,기초원리,피스톤·커넥팅로드
344,기관,운전정비,시동 및 운전,플러싱(세정)
345,기관,운전정비,고장진단,엔진과열원인
346,기관,운전정비,시동 및 운전,시동전점검
347,기관,운전정비,고장진단,출력저하원인
348,기관,운전정비,시동 및 운전,멀티테스터
349,기관,기관구조,연료 및 전기점화,옥탄가·연료
350,기관,운전정비,고장진단,출력저하원인
351,법규,수상레저기구등록법,안전검사,정기검사(1년/5년)
352,법규,수상레저안전법,수상레저사업 및 벌칙,사업등록·변경(10년)
353,법규,수상레저안전법,조종면허제도,면허종류(1/2급/요트)
354,법규,수상레저안전법,수상레저사업 및 벌칙,벌칙·과태료
355,법규,수상레저안전법,수상레저사업 및 벌칙,벌칙·과태료
356,법규,수상레저안전법,조종면허제도,면허취소·정지
357,법규,해상교통안전법,항법일반,횡단하는상태
358,법규,수상레저기구등록법,기구등록·말소,등록관청(1개월)
359,법규,수상레저기구등록법,안전검사,신규검사
360,법규,수상레저안전법,조종면허제도,면허취소·정지
361,법규,수상레저안전법,조종면허제도,면허종류(1/2급/요트)
362,법규,수상레저기구등록법,기구등록·말소,등록대상·제외기구
363,법규,수상레저안전법,조종면허제도,면허취소·정지
364,법규,수상레저안전법,조종면허제도,무면허조종·특례
365,법규,수상레저안전법,조종면허제도,면허종류(1/2급/요트)
366,법규,수상레저안전법,조종면허제도,주취운항(0.03%)
367,법규,수상레저안전법,조종면허제도,결격사유·연령
368,법규,수상레저안전법,수상레저사업 및 벌칙,벌칙·과태료
369,법규,수상레저안전법,운항규칙,인명안전장비착용
370,법규,수상레저안전법,조종면허제도,주취운항(0.03%)
371,법규,수상레저안전법,운항규칙,원거리신고(10해리)
372,법규,수상레저안전법,수상레저사업 및 벌칙,비상구조선·구명조끼(110%)
373,법규,수상레저안전법,수상레저사업 및 벌칙,비상구조선·구명조끼(110%)
374,법규,수상레저안전법,조종면허제도,면허취소·정지
375,법규,해상교통안전법,항법일반,횡단하는상태
376,법규,수상레저안전법,운항규칙,정원초과금지
377,법규,수상레저기구등록법,안전검사,임시검사
