공간정보일련번호,공간정보,포인트명1,포인트명2,수심범위내용,주원료내용,조수물때내용,낚시방법대상내용,선상낚시포인트도분초위도,선상낚시포인트도분초경도,고시내용,행정구역명
295,POINT (886883.236911815 1465454.19570616),제주도 남서부·가파도·마라도,광포란부근해상,12.2~18.9,암,들물/썰물,▶벵에돔 - 목줄/ 장대/ 잠수▶농어 - 루어/ 릴찌▶자리돔 - 민장대/ 릴찌▶볼락 - 루어/ 릴찌/ 장대▶한치 - 루어/ 원투▶참돔 - 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅,33-10-27.6N,126-17-12.3E,,제주특별자치도 서귀포시
296,POINT (877686.1740851881 1632454.59234685),장산도,신도부근,0.3~4.9,암,조금전후,▶감성돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투▶농어 - 루어/ 릴찌,34-40-44.8N,126-09-53.4E,,전라남도 신안군
297,POINT (1103602.44239449 1669905.79578253),칠천도·가조도,수야방도서측해상,7.0~10.2,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶갑오징어 - 에깅▶도다리 - 원투▶볼락 - 릴찌/ 장대/ 루어,35-01-07.8N,128-38-08.1E,,경상남도 거제시
298,POINT (1091407.0020387 1663219.04935133),칠천도·가조도,돌끝여부근해상,15.4~18.4,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶갑오징어 - 에깅▶도다리 - 원투▶볼락 - 릴찌/ 장대/ 루어,34-57-35.0N,128-30-04.3E,,경상남도 거제시
299,POINT (1064484.55202964 1633594.11391327),두미도,남구마을남측해상,5.4~10.0,펄,상관없음,▶감성돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어,34-41-40.8N,128-12-14.6E,,경상남도 통영시
300,POINT (948096.469905671 1499433.14253981),제주도 북동부·우도,천진항앞해상,12.0~12.4,암,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶무늬오징어 - 에깅▶독가시치 - 목줄/ 장대/ 부력/ 잠수,33-29-07.7N,126-56-28.7,,제주특별자치도 제주시
303,POINT (873497.570012863 1853991.0008046),가의도,남측곶부리앞해상,14.4~18.9,암,상관없음,▶우럭 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶고등어 - 루어/ 릴찌/ 장대▶광어 - 릴찌/ 원투▶주꾸미 - 릴찌/ 원투/ 장대▶학꽁치 - 릴찌/ 장대,36-40-31.7N,126-05-03.4E,,충청남도 태안군
304,POINT (1152176.6476286 1685281.51000746),수영만 부근,앞산초인근해상,8.2~9.7m,암,6물~8물,▶ 도다리 - 원투▶ 붕장어 - 원투▶ 학꽁치 - 릴찌/ 장대▶ 무늬오징어 - 에깅▶ 망상어 - 민장대/ 릴찌,35-09-04.586N,129-10-14.373E,,부산광역시 남구
305,POINT (995027.983158491 1584651.44058618),간수제도,소평도해상,12.6~29.5m,펄,사리를 피한 조금 이후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 삼치  -  루어/ 릴찌▶ 문어  -  루어,34-15-19.126N,127-26-45.592E,,전라남도 여수시
307,POINT (1032609.00972927 1637269.84517828),여수엑스포 부근,향촌마을부근,19.5~28m,암,조금,▶ 벵에돔  -  목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌,34-43-45.577N,127-51-22.258E,,전라남도 여수시
308,POINT (1086662.19806101 1675689.47249295),당항포 부근,카페이안펜션해상,13.7~17m,펄/ 모래,조금전후,▶ 도다리 - 원투▶ 노래미 - 루어/ 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 감성돔 - 릴찌/ 장대/ 원투▶ 갑오징어 - 에깅,35-04-21.27N,128-27-01.91E,,경상남도 고성군
309,POINT (962142.6804810511 1577481.94952324),황제도,맞담해상,15.2~16m,모래/ 조개껍질,조금 전후/ 2~3물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 광어  -  릴찌/ 원투▶ 볼락  -  릴찌/ 장대/ 루어,34-11-23.921N,127-05-20.910E,,전라남도 완도군
310,POINT (892928.865817042 1555491.74082701),추자군도,흑검도앞해상,8~26m,암,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,33-59-12.767N,126-20-26.790E,,제주특별자치도 제주시
311,POINT (1079829.51324547 1628132.74857631),연화도 부근,연화도방파제인근해상,12~18.3m,암,초들물/ 초날물/ 5물~6물/ 조금,▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 농어 - 루어/ 릴찌,34-38-39.621N,128-22-15.830E,,경상남도 통영시
312,POINT (865160.643795564 1792593.69906711),어청도·연도,어청도한우담앞바다,41m~47m,모래,들물/ 날물,▶농어 - 루어/ 릴찌 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶돌돔 - 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투,36-07-15.6N,126-00-06.0E,,전라북도 군산시
313,POINT (901692.306060074 1933514.69851984),무의도,실미도남서측해상,-1.0~1.0,펄/ 모래,중들물~중날물,▶숭어 - 릴찌/ 장대/ 홀치기▶삼치 - 루어/ 릴찌▶주꾸미 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶붕장어 - 원투,37-23-43.9N,126-23-21.7E,,인천광역시 중구
314,POINT (875756.5518496 1912787.96710539),덕적도·소야도,감증탄부근,6m~10m,바위,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투 ▶우럭 - 루어/ 릴찌,37-12-20.3N,126-05-59.6E,,인천광역시 옹진군
